Item Name,Description,Inventory Type,Category,Unit,Qty,Cost,Selling Price,Value Tier
Regular Box,Black box with black logo,Packaging Material,Box,Pcs,4,50,N/A,N/A
Ribbon Paper bag,Black paper bag with ribbo handle,Packaging Material,Paper bag,Pcs,181,18,N/A,N/A
Wash Instructions,Washing instructions card,Packaging Material,Card,Pcs,94,1.5,N/A,N/A
Signature message ,Signature message card,Packaging Material,Card,Pcs,96,2,N/A,N/A
Personal Message,Persnal note to customer,Packaging Material,Card,Pcs,88,2,N/A,N/A
String Tag,Hard tag as label,Packaging Material,Tag,Pcs,40,4.5,N/A,N/A
White wrapper,White Light translucent wrapper,Packaging Material,Wrapper,Pcs,N/A,1,N/A,N/A
Black Envelope,Black Envelope for cards,Packaging Material,Envelope,Pcs,29,5,N/A,N/A
Poly Mailer bag,Black Poly mailer bag,Packaging Material,Poly Mailer bag,Pcs,99,3.5,N/A,N/A
Black T-shirt L,Black t-shirt Large,Raw Material,Plain T-shirt,Pcs,12,110,N/A,N/A
Black T-shirt XL,Black t-shirt extra Large,Raw Material,Plain T-shirt,Pcs,2,110,N/A,N/A
Black T-shirt 2XL,Black t-shirt Double extra Large,Raw Material,Plain T-shirt,Pcs,2,110,N/A,N/A
White T-shirt L,White t-shirt Large,Raw Material,Plain T-shirt,Pcs,13,110,N/A,N/A
White T-shirt XL,White t-shirt extra Large,Raw Material,Plain T-shirt,Pcs,5,110,N/A,N/A
White T-shirt 2XL,White t-shirt double extra Large,Raw Material,Plain T-shirt,Pcs,2,110,N/A,N/A
Black Classic Cap,Black Classic Cap ,Finished Product,Cap,Pcs,3,25,100,N/A
Beige Classic Cap,Beige Classic Cap,Finished Product,Cap,Pcs,1,25,100,N/A
Black tote Bag,Black tote Bag,Finished Product,tote bag,Pcs,3,50,150,N/A
Biege tote Bag,Biege tote Bag,Finished Product,tote bag,Pcs,5,50,150,N/A
Olive Linen,"A relaxed long-sleeve linen shirt in a warm, earthy olive colorway.",Finished Product,Linen Shirts — Long Sleeve,Pcs,0,340,1200,Elite
Coastal,A breezy long-sleeve linen shirt inspired by coastal aesthetics.,Finished Product,Linen Shirts — Long Sleeve,Pcs,0,340,1200,Elite
Soleil,"A sun-drenched long-sleeve linen shirt with a light, airy feel.",Finished Product,Linen Shirts — Long Sleeve,Pcs,0,340,1060,Elite
Shore,"A clean, minimal long-sleeve linen shirt with a shoreline-inspired palette.",Finished Product,Linen Shirts — Long Sleeve,Pcs,0,340,1060,Elite
Sahel,An earthy long-sleeve linen shirt drawing from West African landscape tones.,Finished Product,Linen Shirts — Long Sleeve,Pcs,0,340,1060,Elite
Traverse,A versatile long-sleeve linen shirt designed for effortless layering.,Finished Product,Linen Shirts — Long Sleeve,Pcs,0,340,1100,Elite
Meridian Stripe,A refined long-sleeve linen shirt featuring a signature stripe detail.,Finished Product,Linen Shirts — Long Sleeve,Pcs,0,340,1060,Elite
The Linear Heritage Shirt,A heritage-inspired short-sleeve linen shirt with linear graphic detailing.,Finished Product,Linen Shirts — Short Sleeve,Pcs,0,340,900,Elite
Linear Rebellion Linen,A statement long-sleeve linen shirt with bold linear graphic detailing.,Finished Product,Linen Shirts — Long Sleeve,Pcs,0,340,1200,Elite
Verdant Overshirt,A structured woven overshirt in rich verdant tones for a layered statement.,Finished Product,Overshirts,Pcs,0,250,960,Elite
Riviera Drawstring Trouser,"A relaxed linen drawstring trouser with a refined, Riviera-inspired drape.",Finished Product,Trousers & Tailored Pants,Pcs,0,360,990,Elite
Essential Linen Trouser,A clean-cut tailored linen trouser built for everyday elegance.,Finished Product,Trousers & Tailored Pants,Pcs,0,360,1000,Elite
Nomad Essential Short Sleeve,"A go-anywhere short-sleeve linen shirt with a clean, essential silhouette.",Finished Product,Linen Shirts — Short Sleeve,Pcs,0,340,960,Elite
Grandad Short Sleeve Linen,A classic grandad-collar short-sleeve linen shirt for effortless style.,Finished Product,Linen Shirts — Short Sleeve,Pcs,0,340,900,Elite
Grandad Rebellion Linen,A grandad-collar linen shirt with a rebellious graphic twist.,Finished Product,Linen Shirts — Short Sleeve,Pcs,0,340,1000,Elite
The Lido,"A resort-ready short-sleeve linen shirt with a relaxed, poolside feel.",Finished Product,Linen Shirts — Short Sleeve,Pcs,0,340,660,Edition
The Capri,A short-sleeve linen shirt capturing the effortless elegance of island dressing.,Finished Product,Linen Shirts — Short Sleeve,Pcs,0,340,660,Edition
The Canopy,"A relaxed short-sleeve linen shirt with a nature-inspired, open energy.",Finished Product,Linen Shirts — Short Sleeve,Pcs,0,340,600,Edition
The Terracotta,"A short-sleeve linen shirt in warm, earthy terracotta tones.",Finished Product,Linen Shirts — Short Sleeve,Pcs,0,340,600,Edition
Sovereign Tailored Trouser,A sharp suiting-quality tailored trouser with a confident silhouette.,Finished Product,Trousers & Tailored Pants,Pcs,0,360,530,Edition
Pakeru Core,The brand's foundational premium cotton tee with clean signature detailing.,Finished Product,Signature T-Shirts,Pcs,0,250,530,Edition
